           1  -1.2455776103345790E-002
           2  -2.4798750769474676E-002
           3  -3.6917144108454085E-002
           4  -4.8701210073625857E-002
           5  -6.0044230338801942E-002
           6  -7.0843480755950858E-002
           7  -8.1001161640989292E-002
           8  -9.0425283462866907E-002
           9  -9.9030499915003276E-002
          10 -0.10673888082465711     
          11 -0.11348061790063839     
          12 -0.11919465692800242     
          13 -0.12382925068447841     
          14 -0.12734242757132069     
          15 -0.12970237171461527     
          16 -0.13088771109475256     
          17 -0.13088771109475300     
          18 -0.12970237171461507     
          19 -0.12734242757132114     
          20 -0.12382925068447805     
          21 -0.11919465692800284     
          22 -0.11348061790063826     
          23 -0.10673888082465730     
          24  -9.9030499915003151E-002
          25  -9.0425283462867087E-002
          26  -8.1001161640989194E-002
          27  -7.0843480755950927E-002
          28  -6.0044230338801664E-002
          29  -4.8701210073625968E-002
          30  -3.6917144108453655E-002
          31  -2.4798750769474725E-002
          32  -1.2455776103345683E-002
