           1  -6.6177825280898991E-003
           2  -1.3140405256915360E-002
           3  -1.9617524734178174E-002
           4  -2.6203935353748174E-002
           5  -3.2990153942750920E-002
           6  -3.9844685486667836E-002
           7  -4.6429547473244161E-002
           8  -5.2462041439511296E-002
           9  -5.8068567340371871E-002
          10  -6.3878417089193285E-002
          11  -7.0580087798162425E-002
          12  -7.8177695329097657E-002
          13  -8.5631193912946518E-002
          14  -9.1488115063297126E-002
          15  -9.5155029011804143E-002
          16  -9.7636286746569503E-002
          17 -0.10122604653036281     
          18 -0.10820168524273389     
          19 -0.11843280774625466     
          20 -0.12806120279994898     
          21 -0.13264904997213503     
          22 -0.13101814688700367     
          23 -0.12463947500944113     
          24 -0.11534924580096943     
          25 -0.10439533957642003     
          26  -9.2477385623510114E-002
          27  -7.9971457027750867E-002
          28  -6.7081918904561236E-002
          29  -5.3928148451738836E-002
          30  -4.0588824639489873E-002
          31  -2.7124796584589654E-002
          32  -1.3582823134113357E-002
