           1  -2.6009552556311814E-002
           2  -5.1567336093738841E-002
           3  -7.6086722784221947E-002
           4  -9.8608490075671282E-002
           5 -0.11753794996262250     
           6 -0.13028122493258712     
           7 -0.13326186507485707     
           8 -0.12392265595210110     
           9 -0.10486789157908599     
          10  -8.4388862856314181E-002
          11  -6.9251002606160267E-002
          12  -5.9485608198737681E-002
          13  -5.1317462378639801E-002
          14  -4.1545938611640805E-002
          15  -2.9149174135052004E-002
          16  -1.4897326963019614E-002
