           1  -2.0903932817751568E-002
           2  -3.5113525350793755E-002
           3  -3.9653985243165255E-002
           4  -3.6506834110903594E-002
           5  -2.9824662292174044E-002
           6  -2.3451813950787513E-002
           7  -2.0573439460923885E-002
           8  -2.3524264515313989E-002
           9  -3.3194664414654046E-002
          10  -4.9232935703816733E-002
          11  -6.9248782241281642E-002
          12  -8.6614999872707599E-002
          13  -9.5117995269006411E-002
          14  -9.5223449926259404E-002
          15  -9.1226767627469882E-002
          16  -8.6626691134175704E-002
          17  -8.3037785620465723E-002
          18  -8.0451540844871855E-002
          19  -7.7797341593819513E-002
          20  -7.3938656244546860E-002
          21  -6.8502746309335061E-002
          22  -6.1970909162207412E-002
          23  -5.5035861334425451E-002
          24  -4.8289426711520339E-002
          25  -4.2200483415638555E-002
          26  -3.6927210203315727E-002
          27  -3.2201262791031186E-002
          28  -2.7579151145412126E-002
          29  -2.2786832210123807E-002
          30  -1.7639271235134060E-002
          31  -1.2021792156051677E-002
          32  -6.0691450928815321E-003
