           1   7.6372079156853245E-003
           2   1.5205252093835508E-002
           3   2.2635595154432100E-002
           4   2.9860946760101887E-002
           5   3.6815873007830166E-002
           6   4.3437389008520351E-002
           7   4.9665529287903229E-002
           8   5.5443890843157942E-002
           9   6.0720143937237354E-002
          10   6.5446506005074623E-002
          11   6.9580174379887408E-002
          12   7.3083713920760157E-002
          13   7.5925396031072734E-002
          14   7.8079485997589695E-002
          15   7.9526476048005154E-002
          16   8.0253262016349691E-002
          17   8.0253262016350566E-002
          18   7.9526476048004294E-002
          19   7.8079485997590653E-002
          20   7.5925396031072137E-002
          21   7.3083713920760865E-002
          22   6.9580174379887019E-002
          23   6.5446506005075414E-002
          24   6.0720143937237056E-002
          25   5.5443890843158629E-002
          26   4.9665529287902993E-002
          27   4.3437389008520989E-002
          28   3.6815873007829687E-002
          29   2.9860946760102144E-002
          30   2.2635595154432153E-002
          31   1.5205252093836146E-002
          32   7.6372079156851996E-003
