           1   1.4835565250302836E-002
           2   2.9165923119305524E-002
           3   4.2503070457149530E-002
           4   5.4392826707390096E-002
           5   6.4430300481114477E-002
           6   7.2273677647583440E-002
           7   7.7655861404485382E-002
           8   8.0393567939197885E-002
           9   8.0393567939198163E-002
          10   7.7655861404485799E-002
          11   7.2273677647583537E-002
          12   6.4430300481114991E-002
          13   5.4392826707389791E-002
          14   4.2503070457150023E-002
          15   2.9165923119305617E-002
          16   1.4835565250302950E-002
