           1   4.7160314108419879E-003
           2   4.8442267649752993E-003
           3  -5.1152498186905404E-003
           4  -1.4587438396086462E-002
           5  -2.1451142551437444E-002
           6  -2.4213199315353928E-002
           7  -1.7567790827836313E-002
           8  -1.2530776113330014E-002
           9  -1.5010050630540870E-002
          10  -2.2990319866569429E-002
          11  -3.3760223811528094E-002
          12  -3.9940850407024789E-002
          13  -4.1728487859535139E-002
          14  -3.7084162098330820E-002
          15  -3.0951275361314014E-002
          16  -3.3611771046718940E-002
          17  -4.2515177630954137E-002
          18  -5.1514271401949890E-002
          19  -5.9579502929243452E-002
          20  -6.2210343741062483E-002
          21  -5.6246851504529252E-002
          22  -4.8272273215492691E-002
          23  -4.6498766042558835E-002
          24  -3.5580041430604191E-002
          25  -2.6408663972221542E-002
          26  -2.8079217370387977E-002
          27  -3.1774248199219909E-002
          28  -2.3649700945723981E-002
          29  -1.6326502489059473E-002
          30  -1.5682409763823561E-002
          31  -1.0175213119648398E-002
          32  -1.2107727152085362E-003
