           1  -1.4897326963019961E-002
           2  -2.9149174135052365E-002
           3  -4.1545938611641277E-002
           4  -5.1317462378640169E-002
           5  -5.9485608198737758E-002
           6  -6.9251002606160295E-002
           7  -8.4388862856314556E-002
           8 -0.10486789157908630     
           9 -0.12392265595210127     
          10 -0.13326186507485710     
          11 -0.13028122493258706     
          12 -0.11753794996262257     
          13  -9.8608490075671199E-002
          14  -7.6086722784222294E-002
          15  -5.1567336093739015E-002
          16  -2.6009552556311672E-002
