           1  -6.2742644415146945E-003
           2  -1.4094560664323418E-002
           3  -2.4468163101228017E-002
           4  -3.7807036946323418E-002
           5  -5.3424739203250186E-002
           6  -6.9631404061882909E-002
           7  -8.4306788658373114E-002
           8  -9.4830271455173212E-002
           9  -9.8900275611069094E-002
          10  -9.6251512096144479E-002
          11  -8.8739661949557444E-002
          12  -7.7497021790606108E-002
          13  -6.0201279542150418E-002
          14  -3.5908056850239282E-002
          15  -1.2920740679241451E-002
          16  -1.3500256338875045E-003
