           1  -2.4156558960296580E-002
           2  -4.7490495277799555E-002
           3  -6.9207199737188016E-002
           4  -8.8567136014413600E-002
           5 -0.10491102469923991     
           6 -0.11768229426483871     
           7 -0.12644603444360317     
           8 -0.13090380657469342     
           9 -0.13090380657469322     
          10 -0.12644603444360319     
          11 -0.11768229426483848     
          12 -0.10491102469923999     
          13  -8.8567136014413531E-002
          14  -6.9207199737188169E-002
          15  -4.7490495277799402E-002
          16  -2.4156558960296833E-002
